Trans Date,Description,Reference,Debit,Credit,Balance,Currency,Narration
2025-12-11 16:13:33,Balance brought Forward,,,,0.00,ZWG,
2025-12-11 16:13:33,Reversal Debit,,400.00,,-400.00,ZWG,"Transaction Manager Reversal||TM4131202512119339205|Merchant Discount Comm Sep25|Reversal|APOS1018||TM4131202512119339205|4131791780100||||"
2025-12-16 20:39:58,Reversal Debit,,400.00,,-800.00,ZWG,"Transaction Manager Reversal||TM4131202512169488518|MERCHANT DISCOUNT OCTOBER|Reversal|APOS1018||TM4131202512169488518|4131791780100||||"
2026-02-04 10:37:58,Reversal Debit,,400.00,,-1200.00,ZWG,"Transaction Manager Reversal||TM41312026020411402697|MERCHANT DISCOUNT DEC|Reversal|APOS1018||TM41312026020411402697|4131791780100||||"
2026-02-04 10:44:35,Reversal Debit,,400.00,,-1600.00,ZWG,"Transaction Manager Reversal||TM41312026020411406213|MERCHANT DISCOUNT JAN 2026|Reversal|APOS1018||TM41312026020411406213|4131791780100||||"
2026-02-06 17:33:56,Reversal Credit,,,1661.78,61.78,ZWG,"Transaction Manager Reversal||TM41302026020611439415|Reversal FOR CLOSURE OF CUSTOMER ACCOUNT|Reversal|account closure||TM41302026020611439415|413000078177200|RUBIEM FINANCIA|RUBIEM FINANCIA||"
2026-02-06 17:33:56,Debit Interest Application,TM41302026020611439415,32.54,,29.24,ZWG,"Arrears Interest for the period 2025-11-30 to 2026-02-04"
2026-02-06 17:33:56,Penalty Interest Application,TM41302026020611439415,24.33,,4.91,ZWG,"PI on Arrear Principal for the period 2025-12-11 to 2026-02-06"
2026-02-06 17:33:56,Penalty Interest Application,TM41302026020611439415,0.31,,4.60,ZWG,"PI on Arrears Interest for the period 2025-11-30 to 2026-02-06"
2026-02-11 15:54:16,Reversal Credit,,,0.01,4.61,ZWG,"Transaction Manager Reversal||TM41302026021111462508|Reversal FOR CLOSURE OF CUSTOMER ACCOUNT|Reversal|account closure||TM41302026021111462508|413000078177200|RUBIEM FINANCIA|RUBIEM FINANCIA||"
2026-02-11 15:54:16,Totals,,1657.18,1661.79,,ZWG,
2026-02-11 15:54:16,Balance,,,,4.61,ZWG,
